study_id	trait	trait_category	finemap_method	n_credible_sets	n_variants	n_variants_source	n_samples	canonical_trait	statistic	ancestry	trait_detail
GCST90399687	Asthma	allergic_respiratory	SuSiE	157	38355126	gwas_catalog_sumstats_original_rows		Asthma			Asthma
GCST90473712	Asthma	allergic_respiratory	SuSiE	94	102304434	gwas_catalog_rest_snpCount		Asthma			Asthma
GCST90503109	Atopic eczema	allergic_respiratory	SuSiE	117	57514631	gwas_catalog_rest_snpCount		Atopic eczema			Atopic eczema
GCST90013970	allergic rhinitis	allergic_respiratory	SuSiE-inf	188	11914699	gwas_catalog_rest_snpCount	407746	allergic rhinitis			allergic rhinitis
GCST90399686	asthma	allergic_respiratory	SuSiE-inf	167	27096526	gwas_catalog_sumstats_original_rows	1376071	asthma			asthma
FINNGEN_R12_L12_ATOPIC	atopic dermatitis	allergic_respiratory	SuSie	98	21311942	finngen_r12_cohort_constant	464119	atopic dermatitis			atopic dermatitis
GCST007692	chronic obstructive pulmonary disease	allergic_respiratory	PICS	67	6224355	gwas_catalog_rest_snpCount	257811	chronic obstructive pulmonary disease			chronic obstructive pulmonary disease
GCST90691864	body height	anthropometric	SuSiE-inf	4830	23861814	gwas_catalog_rest_snpCount	419596	body height			body height
GCST90013870	body mass index	anthropometric	SuSiE-inf	723	11914699	gwas_catalog_rest_snpCount	407609	body mass index			body mass index
GCST90475762	obesity	anthropometric	SuSiE-inf	419	44300000	gwas_catalog_rest_snpCount	413854	obesity			obesity
FINNGEN_R12_K11_COELIAC	Celiac disease	autoimmune	SuSiE	31	21311942	finngen_r12_cohort_constant		Celiac disease			Celiac disease
GCST90446792	Crohn's disease	autoimmune	SuSiE-inf	223	22382520	gwas_catalog_sumstats_original_rows	367592	Crohn's disease			Crohn's disease
GCST90018627	Graves disease	autoimmune	SuSiE-inf	30	13429311	gwas_catalog_rest_snpCount	175465	Graves disease			Graves disease
GCST90292538	Inflammatory bowel disease	autoimmune	SuSiE	293	22406955	gwas_catalog_sumstats_original_rows		Inflammatory bowel disease			Inflammatory bowel disease
GCST90473823	Inflammatory bowel disease	autoimmune	SuSiE	14	102304434	gwas_catalog_rest_snpCount		Inflammatory bowel disease			Inflammatory bowel disease
FINNGEN_R12_G6_MS	Multiple sclerosis	autoimmune	SuSiE	14	21311942	finngen_r12_cohort_constant		Multiple sclerosis			Multiple sclerosis
GCST90472771	Psoriasis	autoimmune	SuSiE	103	11808957	gwas_catalog_rest_snpCount		Psoriasis			Psoriasis
GCST90473937	Psoriasis	autoimmune	SuSiE	33	102304434	gwas_catalog_rest_snpCount		Psoriasis			Psoriasis
GCST90132222	Rheumatoid arthritis	autoimmune	SuSiE	96	20990826	gwas_catalog_rest_snpCount		Rheumatoid arthritis			Rheumatoid arthritis
GCST90131438	Rheumatoid arthritis	autoimmune	SuSiE	29	64000000	gwas_catalog_rest_snpCount		Rheumatoid arthritis			Rheumatoid arthritis
GCST90131437	Rheumatoid arthritis	autoimmune	SuSiE	24	64000000	gwas_catalog_rest_snpCount		Rheumatoid arthritis			Rheumatoid arthritis
FINNGEN_R12_M13_ANKYLOSPON	ankylosing spondylitis	autoimmune	SuSie	22	21311942	finngen_r12_cohort_constant	357062	ankylosing spondylitis			ankylosing spondylitis
GCST010571	autoimmune thyroid disease	autoimmune	PICS	88	42900000	gwas_catalog_rest_snpCount	754406	autoimmune thyroid disease			autoimmune thyroid disease
GCST90061440	primary biliary cholangitis	autoimmune	SuSiE-inf	50	5054572	gwas_catalog_rest_snpCount	24510	primary biliary cholangitis			primary biliary cholangitis
GCST004030	primary sclerosing cholangitis	autoimmune	SuSiE-inf	11	7891602	gwas_catalog_rest_snpCount	14890	primary sclerosing cholangitis			primary sclerosing cholangitis
GCST90503483	sarcoidosis	autoimmune	PICS	21	32494156	gwas_catalog_rest_snpCount	1374560	sarcoidosis			sarcoidosis
GCST90446794	ulcerative colitis	autoimmune	SuSiE-inf	170	22361765	gwas_catalog_sumstats_original_rows	375508	ulcerative colitis			ulcerative colitis
GCST004988	Breast carcinoma	cancer	SuSiE	210	11800000	gwas_catalog_rest_snpCount		Breast carcinoma			Breast carcinoma
FINNGEN_R12_C3_MELANOMA_EXALLC	Melanoma	cancer	SuSiE	27	21311942	finngen_r12_cohort_constant		Melanoma			Melanoma
GCST90274714	Prostate carcinoma	cancer	SuSiE	442	27244980	gwas_catalog_rest_snpCount		Prostate carcinoma			Prostate carcinoma
GCST90132315	Coronary artery disease	cardiometabolic	SuSiE	242	20804423	gwas_catalog_rest_snpCount		Coronary artery disease			Coronary artery disease
FINNGEN_R12_I9_HYPTENS	Hypertension	cardiometabolic	SuSiE	405	21311942	finngen_r12_cohort_constant		Hypertension			Hypertension
GCST90492734	Type 2 diabetes	cardiometabolic	SuSiE	687	20000000	fallback_existing_manifest_no_gwas_catalog_count		Type 2 diabetes			Type 2 diabetes
GCST90624412	atrial fibrillation	cardiometabolic	SuSiE-inf	885	36072754	gwas_catalog_rest_snpCount	1840341	atrial fibrillation			atrial fibrillation
GCST90455657	heart failure	cardiometabolic	PICS	166	40637482	gwas_catalog_rest_snpCount	2358556	heart failure			heart failure
GCST90104539	stroke	cardiometabolic	SuSiE-inf	22	7511477	gwas_catalog_rest_snpCount	1308460	stroke			stroke
GCST90399744	venous thromboembolism	cardiometabolic	SuSiE-inf	69	23179803	gwas_catalog_sumstats_original_rows	915868	venous thromboembolism			venous thromboembolism
GCST90691573	C-reactive protein measurement	clinical_chemistry	SuSiE-inf	503	23861814	gwas_catalog_rest_snpCount	400094	C-reactive protein measurement			C-reactive protein measurement
GCST90014007	HDL cholesterol	lipid	SuSiE-inf	663	11914699	gwas_catalog_rest_snpCount	357810	HDL cholesterol			HDL cholesterol
GCST90002412	LDL cholesterol	lipid	SuSiE-inf	694	15000001	gwas_catalog_rest_snpCount	431167	LDL cholesterol			LDL cholesterol
GCST90475735	gout	musculoskeletal	SuSiE-inf	198	44300000	gwas_catalog_rest_snpCount	440023	gout			gout
GCST90014014	triglycerides	lipid	SuSiE-inf	530	11914699	gwas_catalog_rest_snpCount	389562	triglycerides			triglycerides
GCST90014015	urate measurement	clinical_chemistry	SuSiE-inf	574	11914699	gwas_catalog_rest_snpCount	389404	urate measurement			urate measurement
GCST90027158	Alzheimer disease	neurodegenerative	SuSiE	83	21101114	gwas_catalog_rest_snpCount		Alzheimer disease			Alzheimer disease
GCST90308590	Parkinson disease	neurodegenerative	SuSiE	67	20000000	fallback_existing_manifest_no_gwas_catalog_count		Parkinson disease			Parkinson disease
GCST90476128	chronic kidney disease	renal_urological	SuSiE-inf	33	44300000	gwas_catalog_rest_snpCount	437875	chronic kidney disease			chronic kidney disease
FINNGEN_R12_F5_DEPRESSION_DYSTHYMIA	major depressive disorder	neuropsychiatric	SuSiE	77	21311942	finngen_r12_cohort_constant	326981	major depressive disorder			major depressive disorder
GCST90568441	attention deficit hyperactivity disorder	neuropsychiatric	SuSiE	30	6571852	gwas_catalog_rest_snpCount	299017	attention deficit hyperactivity disorder			attention deficit hyperactivity disorder
FINNGEN_R12_MIGRAINE_TRIPTAN	migraine	neurological	SuSiE	58	21311942	finngen_r12_cohort_constant	500348	migraine			migraine
GCST90027163	amyotrophic lateral sclerosis	neurological	SuSiE	17	10461755	gwas_catalog_rest_snpCount	152268	amyotrophic lateral sclerosis			amyotrophic lateral sclerosis
GCST90475829	restless legs syndrome	neurological	SuSiE	40	44300000	gwas_catalog_rest_snpCount	443920	restless legs syndrome			restless legs syndrome
GCST90476047	gastroesophageal reflux disease	gastrointestinal	SuSiE	67	44300000	gwas_catalog_rest_snpCount	412728	gastroesophageal reflux disease			gastroesophageal reflux disease
GCST90476073	diverticular disease	gastrointestinal	SuSiE	121	44300000	gwas_catalog_rest_snpCount	391654	diverticular disease			diverticular disease
FINNGEN_R12_K11_CHOLELITH	cholelithiasis	gastrointestinal	SuSiE	112	21311942	finngen_r12_cohort_constant	487252	cholelithiasis			cholelithiasis
FINNGEN_R12_M13_ARTHROSIS_INCLAVO	osteoarthritis	musculoskeletal	SuSiE	112	21311942	finngen_r12_cohort_constant	500348	osteoarthritis			osteoarthritis
GCST90476259	osteoporosis	musculoskeletal	SuSiE	36	44300000	gwas_catalog_rest_snpCount	442537	osteoporosis			osteoporosis
GCST90566798	hip osteoarthritis	musculoskeletal	SuSiE	201	20097305	gwas_catalog_rest_snpCount	1152707	hip osteoarthritis			hip osteoarthritis
FINNGEN_R12_M13_ARTHROSIS_KNEE	knee osteoarthritis	musculoskeletal	SuSiE	113	21311942	finngen_r12_cohort_constant	376471	knee osteoarthritis			knee osteoarthritis
GCST90475731	gout	musculoskeletal	SuSiE	192	44300000	gwas_catalog_rest_snpCount	437979	gout			gout
GCST90132226	Rheumatoid arthritis	autoimmune	SuSiE	70	20990826	gwas_catalog_rest_snpCount	92044	Rheumatoid arthritis			Rheumatoid arthritis
FINNGEN_R12_H7_AMD	age-related macular degeneration	ophthalmological	SuSiE	42	21311942	finngen_r12_cohort_constant	474181	age-related macular degeneration			age-related macular degeneration
GCST90475869	glaucoma	ophthalmological	SuSiE	326	44300000	gwas_catalog_rest_snpCount	430721	glaucoma			glaucoma
GCST90475872	primary open angle glaucoma	ophthalmological	SuSiE	250	44300000	gwas_catalog_rest_snpCount	434033	primary open angle glaucoma			primary open angle glaucoma
GCST90475880	myopia	ophthalmological	SuSiE	86	44300000	gwas_catalog_rest_snpCount	398816	myopia			myopia
GCST90014268	cataract	ophthalmological	SuSiE	42	9869154	gwas_catalog_rest_snpCount	586243	cataract			cataract
FINNGEN_R12_N14_ENDOMETRIOSIS_ASRM_STAGE3_4	endometriosis	reproductive_endocrine	SuSiE	43	21311942	finngen_r12_cohort_constant	282064	endometriosis			endometriosis
FINNGEN_R12_E4_PCOS_BROAD	polycystic ovary syndrome	reproductive_endocrine	SuSiE	13	21311942	finngen_r12_cohort_constant	277831	polycystic ovary syndrome			polycystic ovary syndrome
GCST90461958	uterine fibroid	reproductive_endocrine	SuSiE	145	10954878	gwas_catalog_rest_snpCount	434152	uterine fibroid			uterine fibroid
GCST90572791	hypothyroidism	reproductive_endocrine	SuSiE	399	34556406	gwas_catalog_rest_snpCount	1178661	hypothyroidism			hypothyroidism
GCST90476145	nephrolithiasis	renal_urological	SuSiE	94	44300000	gwas_catalog_rest_snpCount	435154	nephrolithiasis			nephrolithiasis
FINNGEN_R12_N14_PROSTHYPERPLA	benign prostatic hyperplasia	renal_urological	SuSiE	70	21311942	finngen_r12_cohort_constant	194710	benign prostatic hyperplasia			benign prostatic hyperplasia
GCST90277434	lung carcinoma	cancer	SuSiE	16	9452098	gwas_catalog_rest_snpCount	16870	lung carcinoma			lung carcinoma
GCST90016665	ovarian carcinoma	cancer	SuSiE	27	10163797	gwas_catalog_rest_snpCount	63702	ovarian carcinoma			ovarian carcinoma
FINNGEN_R12_C3_KIDNEY_NOTRENALPELVIS_EXALLC	kidney cancer	cancer	SuSiE	10	21311942	finngen_r12_cohort_constant	382675	kidney cancer			kidney cancer
GCST006464	endometrial carcinoma	cancer	SuSiE	17	11700000	gwas_catalog_rest_snpCount	121885	endometrial carcinoma			endometrial carcinoma
GCST90435613	testicular cancer	cancer	SuSiE	13	28000000	gwas_catalog_rest_snpCount	404769	testicular cancer			testicular cancer
FINNGEN_R12_C3_CLL_EXALLC	chronic lymphocytic leukemia	cancer	SuSiE	11	21311942	finngen_r12_cohort_constant	379677	chronic lymphocytic leukemia			chronic lymphocytic leukemia
GCST90475994	abdominal aortic aneurysm	cardiometabolic	SuSiE	45	44300000	gwas_catalog_rest_snpCount	443400	abdominal aortic aneurysm			abdominal aortic aneurysm
FINNGEN_R12_I9_VTE	venous thromboembolism	cardiometabolic	SuSiE	65	21311942	finngen_r12_cohort_constant	500348	venous thromboembolism			venous thromboembolism
FINNGEN_R12_I9_VARICVE	varicose veins	cardiometabolic	SuSiE	225	21311942	finngen_r12_cohort_constant	470690	varicose veins			varicose veins
GCST90475993	aortic aneurysm	cardiometabolic	SuSiE	61	44300000	gwas_catalog_rest_snpCount	441700	aortic aneurysm			aortic aneurysm
GCST009758	idiopathic pulmonary fibrosis	allergic_respiratory	SuSiE	18	10790934	gwas_catalog_rest_snpCount	11259	idiopathic pulmonary fibrosis			idiopathic pulmonary fibrosis
FINNGEN_R12_D3_SARCOIDOSIS	sarcoidosis	autoimmune	SuSiE	20	21311942	finngen_r12_cohort_constant	497722	sarcoidosis			sarcoidosis
GCST90245818	acne	dermatological	SuSiE	21	6438339	gwas_catalog_rest_snpCount	399413	acne			acne
GCST90476178	rosacea	dermatological	SuSiE	20	44300000	gwas_catalog_rest_snpCount	442187	rosacea			rosacea
GCST90475497	monocyte	hematological	SuSiE-inf	28	44300000	gwas_catalog_rest_snpCount	37339	monocyte	maximum	AMR	monocyte (absolute count, maximum)
GCST90475498	monocyte	hematological	SuSiE-inf	153	44300000	gwas_catalog_rest_snpCount	73039	monocyte	maximum	AFR	monocyte (absolute count, maximum)
GCST90475499	monocyte	hematological	SuSiE-inf	600	44300000	gwas_catalog_rest_snpCount	259269	monocyte	maximum	EUR	monocyte (absolute count, maximum)
GCST90475500	monocyte	hematological	SuSiE-inf	52	44300000	gwas_catalog_rest_snpCount	37364	monocyte	mean	AMR	monocyte (absolute count, mean)
GCST90475501	monocyte	hematological	SuSiE-inf	311	44300000	gwas_catalog_rest_snpCount	73140	monocyte	mean	AFR	monocyte (absolute count, mean)
GCST90475502	monocyte	hematological	SuSiE-inf	1250	44300000	gwas_catalog_rest_snpCount	259608	monocyte	mean	EUR	monocyte (absolute count, mean)
GCST90475503	monocyte	hematological	SuSiE-inf	37	44300000	gwas_catalog_rest_snpCount	37368	monocyte	minimum	AMR	monocyte (absolute count, minimum)
GCST90475504	monocyte	hematological	SuSiE-inf	271	44300000	gwas_catalog_rest_snpCount	73142	monocyte	minimum	AFR	monocyte (absolute count, minimum)
GCST90475505	monocyte	hematological	SuSiE-inf	630	44300000	gwas_catalog_rest_snpCount	259625	monocyte	minimum	EUR	monocyte (absolute count, minimum)
GCST90475506	monocyte	hematological	SuSiE-inf	41	44300000	gwas_catalog_rest_snpCount	45327	monocyte	maximum	AMR	monocyte (fraction, maximum)
GCST90475507	monocyte	hematological	SuSiE-inf	165	44300000	gwas_catalog_rest_snpCount	82924	monocyte	maximum	AFR	monocyte (fraction, maximum)
GCST90475508	monocyte	hematological	SuSiE-inf	735	44300000	gwas_catalog_rest_snpCount	296975	monocyte	maximum	EUR	monocyte (fraction, maximum)
GCST90475509	monocyte	hematological	SuSiE-inf	69	44300000	gwas_catalog_rest_snpCount	45327	monocyte	mean	AMR	monocyte (fraction, mean)
GCST90475510	monocyte	hematological	SuSiE-inf	408	44300000	gwas_catalog_rest_snpCount	82924	monocyte	mean	AFR	monocyte (fraction, mean)
GCST90475511	monocyte	hematological	SuSiE-inf	1446	44300000	gwas_catalog_rest_snpCount	296975	monocyte	mean	EUR	monocyte (fraction, mean)
GCST90475512	monocyte	hematological	SuSiE-inf	25	44300000	gwas_catalog_rest_snpCount	45327	monocyte	minimum	AMR	monocyte (fraction, minimum)
GCST90475513	monocyte	hematological	SuSiE-inf	205	44300000	gwas_catalog_rest_snpCount	82924	monocyte	minimum	AFR	monocyte (fraction, minimum)
GCST90475514	monocyte	hematological	SuSiE-inf	550	44300000	gwas_catalog_rest_snpCount	296975	monocyte	minimum	EUR	monocyte (fraction, minimum)
GCST90475524	neutrophil	hematological	SuSiE-inf	22	44300000	gwas_catalog_rest_snpCount	36913	neutrophil	maximum	AMR	neutrophil (absolute count, maximum)
GCST90475525	neutrophil	hematological	SuSiE-inf	413	44300000	gwas_catalog_rest_snpCount	72245	neutrophil	maximum	AFR	neutrophil (absolute count, maximum)
GCST90475526	neutrophil	hematological	SuSiE-inf	184	44300000	gwas_catalog_rest_snpCount	274370	neutrophil	maximum	EUR	neutrophil (absolute count, maximum)
GCST90475527	neutrophil	hematological	SuSiE-inf	34	44300000	gwas_catalog_rest_snpCount	37000	neutrophil	mean	AMR	neutrophil (absolute count, mean)
GCST90475528	neutrophil	hematological	SuSiE-inf	237	44300000	gwas_catalog_rest_snpCount	73258	neutrophil	mean	AFR	neutrophil (absolute count, mean)
GCST90475529	neutrophil	hematological	SuSiE-inf	343	44300000	gwas_catalog_rest_snpCount	275053	neutrophil	mean	EUR	neutrophil (absolute count, mean)
GCST90475530	neutrophil	hematological	SuSiE-inf	34	44300000	gwas_catalog_rest_snpCount	37043	neutrophil	minimum	AMR	neutrophil (absolute count, minimum)
GCST90475531	neutrophil	hematological	SuSiE-inf	856	44300000	gwas_catalog_rest_snpCount	74049	neutrophil	minimum	AFR	neutrophil (absolute count, minimum)
GCST90475532	neutrophil	hematological	SuSiE-inf	287	44300000	gwas_catalog_rest_snpCount	275068	neutrophil	minimum	EUR	neutrophil (absolute count, minimum)
GCST90475533	neutrophil	hematological	SuSiE-inf	11	44300000	gwas_catalog_rest_snpCount	38543	neutrophil	maximum	AMR	neutrophil (fraction, maximum)
GCST90475534	neutrophil	hematological	SuSiE-inf	249	44300000	gwas_catalog_rest_snpCount	65556	neutrophil	maximum	AFR	neutrophil (fraction, maximum)
GCST90475535	neutrophil	hematological	SuSiE-inf	118	44300000	gwas_catalog_rest_snpCount	261863	neutrophil	maximum	EUR	neutrophil (fraction, maximum)
GCST90475536	neutrophil	hematological	SuSiE-inf	27	44300000	gwas_catalog_rest_snpCount	38542	neutrophil	mean	AMR	neutrophil (fraction, mean)
GCST90475537	neutrophil	hematological	SuSiE-inf	538	44300000	gwas_catalog_rest_snpCount	65554	neutrophil	mean	AFR	neutrophil (fraction, mean)
GCST90475538	neutrophil	hematological	SuSiE-inf	304	44300000	gwas_catalog_rest_snpCount	261847	neutrophil	mean	EUR	neutrophil (fraction, mean)
GCST90475539	neutrophil	hematological	SuSiE-inf	27	44300000	gwas_catalog_rest_snpCount	38543	neutrophil	minimum	AMR	neutrophil (fraction, minimum)
GCST90475540	neutrophil	hematological	SuSiE-inf	585	44300000	gwas_catalog_rest_snpCount	65556	neutrophil	minimum	AFR	neutrophil (fraction, minimum)
GCST90475541	neutrophil	hematological	SuSiE-inf	374	44300000	gwas_catalog_rest_snpCount	261863	neutrophil	minimum	EUR	neutrophil (fraction, minimum)
GCST90475421	lymphocyte	hematological	SuSiE-inf	15	44300000	gwas_catalog_rest_snpCount	36516	lymphocyte	maximum	AMR	lymphocyte (absolute count, maximum)
GCST90475422	lymphocyte	hematological	SuSiE-inf	46	44300000	gwas_catalog_rest_snpCount	70548	lymphocyte	maximum	AFR	lymphocyte (absolute count, maximum)
GCST90475423	lymphocyte	hematological	SuSiE-inf	490	44300000	gwas_catalog_rest_snpCount	253142	lymphocyte	maximum	EUR	lymphocyte (absolute count, maximum)
GCST90475424	lymphocyte	hematological	SuSiE-inf	20	44300000	gwas_catalog_rest_snpCount	36536	lymphocyte	mean	AMR	lymphocyte (absolute count, mean)
GCST90475425	lymphocyte	hematological	SuSiE-inf	41	44300000	gwas_catalog_rest_snpCount	70580	lymphocyte	mean	AFR	lymphocyte (absolute count, mean)
GCST90475426	lymphocyte	hematological	SuSiE-inf	524	44300000	gwas_catalog_rest_snpCount	253317	lymphocyte	mean	EUR	lymphocyte (absolute count, mean)
GCST90475428	lymphocyte	hematological	SuSiE-inf	28	44300000	gwas_catalog_rest_snpCount	70597	lymphocyte	minimum	AFR	lymphocyte (absolute count, minimum)
GCST90475429	lymphocyte	hematological	SuSiE-inf	197	44300000	gwas_catalog_rest_snpCount	253480	lymphocyte	minimum	EUR	lymphocyte (absolute count, minimum)
GCST90475430	lymphocyte	hematological	SuSiE-inf	26	44300000	gwas_catalog_rest_snpCount	40768	lymphocyte	maximum	AMR	lymphocyte (fraction, maximum)
GCST90475431	lymphocyte	hematological	SuSiE-inf	489	44300000	gwas_catalog_rest_snpCount	81257	lymphocyte	maximum	AFR	lymphocyte (fraction, maximum)
GCST90475432	lymphocyte	hematological	SuSiE-inf	403	44300000	gwas_catalog_rest_snpCount	290958	lymphocyte	maximum	EUR	lymphocyte (fraction, maximum)
GCST90475433	lymphocyte	hematological	SuSiE-inf	29	44300000	gwas_catalog_rest_snpCount	40768	lymphocyte	mean	AMR	lymphocyte (fraction, mean)
GCST90475434	lymphocyte	hematological	SuSiE-inf	455	44300000	gwas_catalog_rest_snpCount	81257	lymphocyte	mean	AFR	lymphocyte (fraction, mean)
GCST90475435	lymphocyte	hematological	SuSiE-inf	291	44300000	gwas_catalog_rest_snpCount	290958	lymphocyte	mean	EUR	lymphocyte (fraction, mean)
GCST90475437	lymphocyte	hematological	SuSiE-inf	238	44300000	gwas_catalog_rest_snpCount	81257	lymphocyte	minimum	AFR	lymphocyte (fraction, minimum)
GCST90475438	lymphocyte	hematological	SuSiE-inf	106	44300000	gwas_catalog_rest_snpCount	290958	lymphocyte	minimum	EUR	lymphocyte (fraction, minimum)
GCST90475286	eosinophil	hematological	SuSiE-inf	32	44300000	gwas_catalog_rest_snpCount	42380	eosinophil	maximum	AMR	eosinophil (absolute count, maximum)
GCST90475287	eosinophil	hematological	SuSiE-inf	67	44300000	gwas_catalog_rest_snpCount	90403	eosinophil	maximum	AFR	eosinophil (absolute count, maximum)
GCST90475288	eosinophil	hematological	SuSiE-inf	892	44300000	gwas_catalog_rest_snpCount	310588	eosinophil	maximum	EUR	eosinophil (absolute count, maximum)
GCST90475289	eosinophil	hematological	SuSiE-inf	41	44300000	gwas_catalog_rest_snpCount	42397	eosinophil	mean	AMR	eosinophil (absolute count, mean)
GCST90475290	eosinophil	hematological	SuSiE-inf	138	44300000	gwas_catalog_rest_snpCount	90448	eosinophil	mean	AFR	eosinophil (absolute count, mean)
GCST90475291	eosinophil	hematological	SuSiE-inf	1150	44300000	gwas_catalog_rest_snpCount	310757	eosinophil	mean	EUR	eosinophil (absolute count, mean)
GCST90475292	eosinophil	hematological	SuSiE-inf	14	44300000	gwas_catalog_rest_snpCount	42403	eosinophil	minimum	AMR	eosinophil (absolute count, minimum)
GCST90475293	eosinophil	hematological	SuSiE-inf	45	44300000	gwas_catalog_rest_snpCount	90479	eosinophil	minimum	AFR	eosinophil (absolute count, minimum)
GCST90475294	eosinophil	hematological	SuSiE-inf	361	44300000	gwas_catalog_rest_snpCount	310849	eosinophil	minimum	EUR	eosinophil (absolute count, minimum)
GCST90475295	eosinophil	hematological	SuSiE-inf	32	44300000	gwas_catalog_rest_snpCount	47410	eosinophil	maximum	AMR	eosinophil (fraction, maximum)
GCST90475296	eosinophil	hematological	SuSiE-inf	229	44300000	gwas_catalog_rest_snpCount	98055	eosinophil	maximum	AFR	eosinophil (fraction, maximum)
GCST90475297	eosinophil	hematological	SuSiE-inf	460	44300000	gwas_catalog_rest_snpCount	335542	eosinophil	maximum	EUR	eosinophil (fraction, maximum)
GCST90475298	eosinophil	hematological	SuSiE-inf	42	44300000	gwas_catalog_rest_snpCount	47410	eosinophil	mean	AMR	eosinophil (fraction, mean)
GCST90475299	eosinophil	hematological	SuSiE-inf	186	44300000	gwas_catalog_rest_snpCount	98055	eosinophil	mean	AFR	eosinophil (fraction, mean)
GCST90475300	eosinophil	hematological	SuSiE-inf	1184	44300000	gwas_catalog_rest_snpCount	335542	eosinophil	mean	EUR	eosinophil (fraction, mean)
GCST90475301	eosinophil	hematological	SuSiE-inf	16	44300000	gwas_catalog_rest_snpCount	47410	eosinophil	minimum	AMR	eosinophil (fraction, minimum)
GCST90475302	eosinophil	hematological	SuSiE-inf	99	44300000	gwas_catalog_rest_snpCount	98055	eosinophil	minimum	AFR	eosinophil (fraction, minimum)
GCST90475303	eosinophil	hematological	SuSiE-inf	255	44300000	gwas_catalog_rest_snpCount	335542	eosinophil	minimum	EUR	eosinophil (fraction, minimum)
GCST90476342	RBC_count	hematological	SuSiE-inf	50	44300000	gwas_catalog_rest_snpCount	55750	RBC_count	maximum	AMR	RBC_count (RBC, maximum)
GCST90476344	RBC_count	hematological	SuSiE-inf	157	44300000	gwas_catalog_rest_snpCount	114767	RBC_count	maximum	AFR	RBC_count (RBC, maximum)
GCST90476345	RBC_count	hematological	SuSiE-inf	1833	44300000	gwas_catalog_rest_snpCount	405357	RBC_count	maximum	EUR	RBC_count (RBC, maximum)
GCST90476346	RBC_count	hematological	SuSiE-inf	44	44300000	gwas_catalog_rest_snpCount	55750	RBC_count	mean	AMR	RBC_count (RBC, mean)
GCST90476348	RBC_count	hematological	SuSiE-inf	120	44300000	gwas_catalog_rest_snpCount	114768	RBC_count	mean	AFR	RBC_count (RBC, mean)
GCST90476349	RBC_count	hematological	SuSiE-inf	1451	44300000	gwas_catalog_rest_snpCount	405366	RBC_count	mean	EUR	RBC_count (RBC, mean)
GCST90476350	RBC_count	hematological	SuSiE-inf	26	44300000	gwas_catalog_rest_snpCount	55750	RBC_count	minimum	AMR	RBC_count (RBC, minimum)
GCST90476352	RBC_count	hematological	SuSiE-inf	63	44300000	gwas_catalog_rest_snpCount	114768	RBC_count	minimum	AFR	RBC_count (RBC, minimum)
GCST90476353	RBC_count	hematological	SuSiE-inf	404	44300000	gwas_catalog_rest_snpCount	405369	RBC_count	minimum	EUR	RBC_count (RBC, minimum)
GCST90476294	platelet_count	hematological	SuSiE-inf	54	44300000	gwas_catalog_rest_snpCount	55712	platelet_count	maximum	AMR	platelet_count (maximum)
GCST90476295	platelet_count	hematological	SuSiE-inf	199	44300000	gwas_catalog_rest_snpCount	114580	platelet_count	maximum	AFR	platelet_count (maximum)
GCST90476296	platelet_count	hematological	SuSiE-inf	1081	44300000	gwas_catalog_rest_snpCount	406601	platelet_count	maximum	EUR	platelet_count (maximum)
GCST90476297	platelet_count	hematological	SuSiE-inf	83	44300000	gwas_catalog_rest_snpCount	55759	platelet_count	mean	AMR	platelet_count (mean)
GCST90476298	platelet_count	hematological	SuSiE-inf	368	44300000	gwas_catalog_rest_snpCount	235	platelet_count	mean	AFR	platelet_count (mean)
GCST90476299	platelet_count	hematological	SuSiE-inf	1457	44300000	gwas_catalog_rest_snpCount	407021	platelet_count	mean	EUR	platelet_count (mean)
GCST90476300	platelet_count	hematological	SuSiE-inf	64	44300000	gwas_catalog_rest_snpCount	55776	platelet_count	minimum	AMR	platelet_count (minimum)
GCST90476301	platelet_count	hematological	SuSiE-inf	221	44300000	gwas_catalog_rest_snpCount	114799	platelet_count	minimum	AFR	platelet_count (minimum)
GCST90476302	platelet_count	hematological	SuSiE-inf	1103	44300000	gwas_catalog_rest_snpCount	407168	platelet_count	minimum	EUR	platelet_count (minimum)
GCST90475369	hemoglobin	hematological	SuSiE-inf	26	44300000	gwas_catalog_rest_snpCount	55834	hemoglobin	maximum	AMR	hemoglobin (maximum)
GCST90475371	hemoglobin	hematological	SuSiE-inf	77	44300000	gwas_catalog_rest_snpCount	114984	hemoglobin	maximum	AFR	hemoglobin (maximum)
GCST90475372	hemoglobin	hematological	SuSiE-inf	926	44300000	gwas_catalog_rest_snpCount	407887	hemoglobin	maximum	EUR	hemoglobin (maximum)
GCST90475373	hemoglobin	hematological	SuSiE-inf	17	44300000	gwas_catalog_rest_snpCount	55838	hemoglobin	mean	AMR	hemoglobin (mean)
GCST90475375	hemoglobin	hematological	SuSiE-inf	48	44300000	gwas_catalog_rest_snpCount	114985	hemoglobin	mean	AFR	hemoglobin (mean)
GCST90475376	hemoglobin	hematological	SuSiE-inf	626	44300000	gwas_catalog_rest_snpCount	407894	hemoglobin	mean	EUR	hemoglobin (mean)
GCST90475379	hemoglobin	hematological	SuSiE-inf	20	44300000	gwas_catalog_rest_snpCount	114985	hemoglobin	minimum	AFR	hemoglobin (minimum)
GCST90475380	hemoglobin	hematological	SuSiE-inf	302	44300000	gwas_catalog_rest_snpCount	407894	hemoglobin	minimum	EUR	hemoglobin (minimum)
